name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
AUDIT_ID,"NUMBER(38,0)",COLUMN,Y,IDENTITY START 1 INCREMENT 1 NOORDER,N,N,,,,,
EVENT_TS,TIMESTAMP_NTZ(9),COLUMN,Y,CURRENT_TIMESTAMP(),N,N,,,,,
EVENT_ID,VARCHAR(100),COLUMN,N,,N,N,,,,,
ACTION_TYPE,VARCHAR(30),COLUMN,N,,N,N,,,,,
STATUS,VARCHAR(30),COLUMN,N,,N,N,,,,,
TARGET_TABLE,VARCHAR(200),COLUMN,Y,'EDLDB.SC_SANDBOX.VC_CPFR_EMAIL',N,N,,,,,
VENDOR_NUMBER,VARCHAR(50),COLUMN,Y,,N,N,,,,,
SNOWFLAKE_USER,VARCHAR(255),COLUMN,Y,,N,N,,,,,
CHEWY_USERNAME,VARCHAR(255),COLUMN,Y,,N,N,,,,,
BEFORE_STATE,VARIANT,COLUMN,Y,,N,N,,,,,
AFTER_STATE,VARIANT,COLUMN,Y,,N,N,,,,,
ERROR_MESSAGE,VARCHAR(5000),COLUMN,Y,,N,N,,,,,
CHANGED_FIELDS,VARCHAR(2000),COLUMN,Y,,N,N,,,,,
APP_NAME,VARCHAR(255),COLUMN,Y,,N,N,,,,,
APP_VERSION,VARCHAR(100),COLUMN,Y,,N,N,,,,,
SESSION_ID,VARCHAR(255),COLUMN,Y,,N,N,,,,,
